tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,60.0,33.333333333333336,98.33333333333333,66.66666666666667,64.16666666666667,71.06737740591907,65.55232558936262,69.37301587301587,45.416666666666664,66.25,73.81113629192758,92.94724770642202,97.32798165137615,65.42813455657493,95.87538226299695,38.86467889908257,85.01529051987767,56.23853211009175,98.6697247706422,29.41896024464832,73.47222222222221,89.16666666666667,92.5925925925926,75.47169811320755,86.53846153846153,80.21978021978022,60.21645021645022,80.32467532467533,60.0,99.22077922077922,1.2987012987012987,26.61082474226804,1.7583333333333333,56.75257731958763,1.8041237113402062,49.501718213058425,38.78006872852234,9.106529209621993,66.14627550358516,60.21645021645022,85.40456658320774,38.39961189137266,44.45887445887446,92.95181120749875,97.96296296296298,92.26190476190477,1.7583333333333333,38.78006872852234,27.638888888888893,21.666666666666668,24.166666666666668,15.0,15.833333333333334,10.0,79.16666666666667,85.48015873015873,83.33333333333333,84.44444444444444,72.5,88.98305084745763,82.5,90.9090909090909,87.5,82.85714285714286,82.85714285714286,62.857142857142854,64.28571428571429,95.71428571428571,95.71428571428571,57.142857142857146,87.14285714285714,91.42857142857143,90.0,72.14285714285714,91.42857142857143,88.57142857142857,19.854096520763186,59.166666666666664,21.666666666666668,19.166666666666668,28.690662493479394,7.05009276437848,52.5,16.666666666666668,7.5,27.5,2.5,42.25352112676056,5.633802816901408,2.816901408450704,79.16666666666667,70.4225352112676,11.267605633802816,11.267605633802816,21.12676056338028,33.80281690140845,11.267605633802816,9.859154929577464,5.633802816901408,97.1830985915493,23.943661971830984,23.943661971830984,29.166666666666668,42.5,3.3333333333333335,0.0,1.408450704225352,9.859154929577464,5.633802816901408,0.0,40.47908671935956,159.375,153.275
General,PERIURBAN,7.0,57.142857142857146,42.857142857142854,100.0,85.71428571428571,71.42857142857143,66.0487964416536,56.366300366300365,58.0,41.111111111111114,66.66666666666667,75.73129251700682,97.85714285714286,97.14285714285714,50.714285714285715,98.57142857142857,51.42857142857143,82.85714285714286,60.0,97.14285714285714,40.952380952380956,75.0,85.71428571428571,100.0,50.0,100.0,100.0,52.22222222222223,60.0,,96.66666666666667,0.0,21.666666666666668,1.5714285714285714,36.66666666666667,0.0,56.66666666666667,50.0,0.0,63.41230687137464,52.22222222222223,73.88167388167389,43.89079238733616,26.666666666666668,93.32878480932735,93.33333333333333,100.0,1.5714285714285714,50.0,38.09523809523809,57.142857142857146,57.142857142857146,14.285714285714286,57.142857142857146,14.285714285714286,28.571428571428573,89.28571428571429,100.0,100.0,100.0,71.42857142857143,100.0,100.0,85.71428571428571,80.0,80.0,40.0,40.0,100.0,100.0,40.0,80.0,80.0,80.0,60.0,80.0,80.0,24.001924001924003,71.42857142857143,28.571428571428573,0.0,28.148148148148145,13.636363636363637,71.42857142857143,14.285714285714286,14.285714285714286,42.857142857142854,0.0,20.0,0.0,0.0,100.0,40.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,28.571428571428573,42.857142857142854,14.285714285714286,0.0,0.0,20.0,20.0,0.0,12.971416379596903,254.57142857142858,157.71428571428572
General,RURAL,87.0,54.02298850574713,32.18390804597701,97.70114942528735,57.47126436781609,54.02298850574713,70.509227543883,65.63450595526066,70.52131313131312,42.291666666666664,62.5,72.38967695664125,91.70454545454545,97.72727272727273,64.8917748917749,95.78463203463204,29.366883116883116,86.58008658008659,56.03896103896104,98.8961038961039,24.805194805194805,72.22222222222221,90.80459770114942,90.56603773584905,74.35897435897436,84.41558441558442,77.02702702702703,60.83333333333334,80.2,100.0,100.0,2.0,25.580168776371305,1.9655172413793103,55.33755274261604,1.5822784810126582,46.962025316455694,35.48523206751055,9.915611814345992,66.92587072484555,60.83333333333334,83.10898905016552,44.488063987222944,50.46666666666667,95.03778166000264,97.77777777777777,86.45833333333333,1.9655172413793103,35.48523206751055,30.268199233716473,24.137931034482758,27.586206896551722,18.39080459770115,16.091954022988507,12.64367816091954,82.75862068965517,87.7695675971538,82.97872340425532,81.81818181818181,60.714285714285715,95.29411764705883,84.0,97.87234042553192,91.95402298850574,78.72340425531915,78.72340425531915,55.319148936170215,57.4468085106383,95.74468085106383,97.87234042553192,46.808510638297875,82.97872340425532,91.48936170212765,89.36170212765957,64.8936170212766,89.36170212765957,85.1063829787234,15.778474399164054,52.87356321839081,24.137931034482758,22.988505747126435,23.91304347826087,6.651884700665189,44.827586206896555,12.64367816091954,3.4482758620689653,19.54022988505747,2.2988505747126435,43.47826086956522,4.3478260869565215,4.3478260869565215,75.86206896551724,67.3913043478261,6.521739130434782,6.521739130434782,10.869565217391305,23.91304347826087,2.1739130434782608,4.3478260869565215,2.1739130434782608,95.65217391304348,10.869565217391305,10.869565217391305,20.689655172413794,34.48275862068966,1.1494252873563218,0.0,2.1739130434782608,4.3478260869565215,4.3478260869565215,0.0,48.73045800376793,134.35632183908046,168.7816091954023
General,URBAN,26.0,80.76923076923077,34.61538461538461,100.0,92.3076923076923,96.15384615384616,74.09298340548341,68.4069264069264,69.88840788840788,55.18518518518519,77.77777777777777,77.6515873015873,95.4,96.15,71.2,95.4,64.6,80.8,55.8,98.4,40.4,77.24358974358974,84.61538461538461,95.45454545454545,86.36363636363636,90.47619047619048,91.66666666666667,61.03174603174604,86.42857142857143,0.0,98.0952380952381,0.0,34.77564102564102,1.1153846153846154,73.07692307692308,3.8461538461538463,62.17948717948718,54.48717948717949,7.6923076923076925,64.27369843342434,61.03174603174604,96.43594015198074,15.674268058943854,35.23809523809524,88.78861388698489,100.0,100.0,1.1153846153846154,54.48717948717949,16.025641025641026,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,0.0,80.76923076923077,76.7948717948718,80.95238095238095,88.88888888888889,100.0,73.07692307692308,75.0,76.0,73.07692307692308,94.44444444444444,94.44444444444444,88.88888888888889,88.88888888888889,94.44444444444444,88.88888888888889,88.88888888888889,100.0,94.44444444444444,94.44444444444444,94.44444444444444,100.0,100.0,32.375032375032376,76.92307692307692,11.538461538461538,11.538461538461538,39.81481481481482,7.575757575757577,73.07692307692308,30.76923076923077,19.23076923076923,50.0,3.8461538461538463,45.0,10.0,0.0,84.61538461538461,85.0,20.0,25.0,45.0,60.0,30.0,20.0,10.0,100.0,55.0,55.0,57.69230769230769,69.23076923076923,7.6923076923076925,0.0,0.0,20.0,5.0,0.0,20.976690790321985,217.46153846153845,100.1923076923077
PRIMARY,General,72.0,44.44444444444444,18.055555555555557,97.22222222222223,55.55555555555556,51.388888888888886,71.82826068787983,67.19814005439005,66.72792022792022,50.0,73.07692307692308,73.24341557859704,92.11693548387096,98.54838709677419,62.03629032258065,97.56048387096774,35.20161290322581,87.36559139784947,54.193548387096776,99.03225806451613,30.161290322580644,68.75,87.5,92.5,69.35483870967742,86.88524590163935,74.54545454545455,58.162393162393165,73.97435897435898,33.333333333333336,99.48717948717949,2.5641025641025643,26.47222222222222,1.7638888888888888,53.916666666666664,2.0833333333333335,51.333333333333336,41.0,8.88888888888889,64.28310280879444,58.162393162393165,82.8124301363738,43.27978618603619,44.01709401709402,94.24381148956174,100.0,88.8888888888889,1.7638888888888888,41.0,31.018518518518515,27.77777777777778,27.77777777777778,15.277777777777779,22.22222222222222,13.88888888888889,79.16666666666667,87.61904761904762,87.5,88.88888888888889,69.23076923076923,90.0,80.0,97.29729729729729,90.27777777777777,75.0,75.0,43.75,46.875,96.875,93.75,34.375,84.375,84.375,84.375,59.375,90.625,87.5,12.780583613916948,40.27777777777778,31.944444444444443,27.77777777777778,21.0727969348659,7.18816067653277,37.5,5.555555555555555,2.7777777777777777,18.055555555555557,1.3888888888888888,31.03448275862069,0.0,0.0,70.83333333333333,55.172413793103445,3.4482758620689653,6.896551724137931,6.896551724137931,13.793103448275861,3.4482758620689653,3.4482758620689653,3.4482758620689653,93.10344827586206,6.896551724137931,6.896551724137931,19.444444444444443,20.833333333333332,1.3888888888888888,0.0,0.0,3.4482758620689653,6.896551724137931,0.0,43.26525383633226,86.18055555555556,151.76388888888889
PRIMARY,PERIURBAN,4.0,50.0,25.0,100.0,100.0,75.0,64.50106837606837,55.80769230769231,51.0,50.0,100.0,73.19444444444444,98.75,100.0,23.75,100.0,36.25,100.0,55.0,100.0,45.0,56.25,75.0,100.0,0.0,100.0,100.0,45.0,40.0,,95.0,0.0,25.0,1.0,33.333333333333336,0.0,66.66666666666667,66.66666666666667,0.0,61.16466993496779,45.0,63.19444444444444,67.05357142857143,25.0,97.7621676354042,100.0,100.0,1.0,66.66666666666667,37.5,75.0,75.0,0.0,75.0,0.0,0.0,81.25,100.0,100.0,100.0,50.0,100.0,100.0,75.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,13.383838383838384,75.0,25.0,0.0,14.814814814814815,9.090909090909092,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.647727272727273,28.25,7.75
PRIMARY,RURAL,57.0,42.10526315789474,19.29824561403509,96.49122807017544,47.36842105263158,42.10526315789474,71.80404795742805,68.00136668886668,68.39749345304901,50.0,69.0909090909091,72.36070808531746,90.234375,98.125,63.776041666666664,97.578125,28.28125,89.30555555555556,56.979166666666664,99.16666666666667,23.958333333333332,68.42105263157895,89.47368421052632,89.28571428571429,70.0,85.71428571428571,72.34042553191489,59.50617283950618,75.92592592592592,100.0,100.0,3.7037037037037037,25.71078431372549,1.8421052631578947,53.627450980392155,2.450980392156863,50.424836601307184,38.26797385620915,8.49673202614379,65.19810264745578,59.50617283950618,81.28401360544217,46.78163211057948,50.24691358024692,94.58030001999104,100.0,86.66666666666667,1.8421052631578947,38.26797385620915,33.62573099415204,29.82456140350877,29.82456140350877,19.29824561403509,22.80701754385965,17.54385964912281,82.45614035087719,88.65914786967419,83.33333333333333,88.23529411764706,63.63636363636363,94.54545454545455,77.77777777777777,100.0,92.98245614035088,73.07692307692308,73.07692307692308,42.30769230769231,46.15384615384615,96.15384615384616,100.0,30.76923076923077,80.76923076923077,84.61538461538461,84.61538461538461,55.76923076923077,88.46153846153847,84.61538461538461,11.353299072597318,36.8421052631579,33.333333333333336,29.82456140350877,18.69488536155203,7.070707070707071,36.8421052631579,5.2631578947368425,0.0,15.789473684210526,1.7543859649122806,38.095238095238095,0.0,0.0,68.42105263157895,61.904761904761905,0.0,0.0,0.0,9.523809523809524,0.0,0.0,0.0,90.47619047619048,0.0,0.0,12.280701754385966,15.789473684210526,1.7543859649122806,0.0,0.0,4.761904761904762,4.761904761904762,0.0,50.12803145955319,97.78947368421052,189.33333333333334
PRIMARY,URBAN,11.0,54.54545454545455,9.090909090909092,100.0,81.81818181818181,90.9090909090909,74.60055096418733,70.08207070707071,68.95707070707071,,90.0,77.5,98.5,100.0,69.0,96.5,68.0,73.0,40.5,98.0,54.0,75.0,81.81818181818181,100.0,88.88888888888889,88.88888888888889,80.0,60.208333333333336,84.375,0.0,100.0,0.0,33.68055555555556,1.6363636363636365,66.66666666666667,0.0,51.388888888888886,51.388888888888886,16.666666666666668,60.675715598940776,60.208333333333336,97.72727272727273,16.48884448884449,32.5,92.24849858878707,100.0,,1.6363636363636365,51.388888888888886,15.151515151515149,0.0,0.0,0.0,0.0,0.0,90.9090909090909,84.54545454545455,100.0,,100.0,81.81818181818181,77.77777777777777,90.0,81.81818181818181,75.0,75.0,75.0,75.0,100.0,50.0,75.0,100.0,75.0,75.0,87.5,100.0,100.0,19.957147229874504,45.45454545454545,27.272727272727273,27.272727272727273,34.81481481481482,7.575757575757577,36.36363636363637,9.090909090909092,18.181818181818183,18.181818181818183,0.0,20.0,0.0,0.0,72.72727272727273,60.0,20.0,40.0,40.0,40.0,20.0,20.0,20.0,100.0,40.0,40.0,54.54545454545455,45.45454545454545,0.0,0.0,0.0,0.0,20.0,0.0,24.343487394957982,47.09090909090909,9.454545454545455
SECONDARY,General,39.0,84.61538461538461,51.282051282051285,100.0,84.61538461538461,84.61538461538461,70.14337849041797,63.79230617866981,73.09677419354838,41.8421052631579,58.0,74.84066067947647,94.21052631578948,96.3157894736842,71.78728070175438,92.93859649122807,43.38815789473684,82.63157894736842,57.63157894736842,98.28947368421052,30.438596491228072,79.91452991452991,92.3076923076923,93.93939393939394,83.33333333333333,82.85714285714286,86.66666666666667,63.60215053763441,89.6774193548387,100.0,100.0,0.0,24.368279569892472,1.8461538461538463,55.483870967741936,0.0,44.24731182795699,30.698924731182796,11.290322580645162,69.18539872926604,63.60215053763441,87.78747417132172,34.63246874612067,49.24731182795699,92.48396266254036,96.86274509803923,90.0,1.8461538461538463,30.698924731182796,23.076923076923073,12.820512820512821,20.512820512820515,15.384615384615385,5.128205128205129,2.5641025641025643,82.05128205128206,81.66056166056165,78.78787878787878,75.0,65.0,89.74358974358974,84.84848484848484,87.87878787878788,82.05128205128206,90.0,90.0,83.33333333333333,83.33333333333333,93.33333333333333,100.0,80.0,90.0,100.0,96.66666666666667,85.0,93.33333333333333,90.0,25.157558490891827,87.17948717948718,5.128205128205129,7.6923076923076925,28.322440087145967,3.6363636363636367,71.7948717948718,25.641025641025642,7.6923076923076925,33.333333333333336,2.5641025641025643,41.1764705882353,2.9411764705882355,2.9411764705882355,89.74358974358974,82.3529411764706,5.882352941176471,5.882352941176471,20.58823529411765,35.294117647058826,8.823529411764707,5.882352941176471,5.882352941176471,100.0,23.529411764705884,23.529411764705884,35.8974358974359,71.7948717948718,2.5641025641025643,0.0,2.9411764705882355,8.823529411764707,2.9411764705882355,0.0,39.71699628306597,213.12820512820514,125.6923076923077
SECONDARY,PERIURBAN,1.0,100.0,100.0,100.0,100.0,100.0,62.80952380952381,54.666666666666664,64.0,50.0,50.0,70.95238095238096,90.0,100.0,60.0,100.0,40.0,60.0,60.0,100.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,8.333333333333334,3.0,33.333333333333336,0.0,33.333333333333336,0.0,0.0,63.01253233945541,66.66666666666667,72.72727272727273,26.25,0.0,75.44378698224851,100.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.925925925925927,100.0,0.0,0.0,25.925925925925927,,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,23.357664233576642,137.0,32.0
SECONDARY,RURAL,27.0,77.77777777777777,55.55555555555556,100.0,77.77777777777777,77.77777777777777,68.0385366947867,62.52809147374364,73.80952380952381,35.76923076923077,54.0,72.59602665852665,94.03846153846153,96.73076923076923,69.63141025641026,91.98717948717947,33.02884615384615,80.0,53.84615384615385,98.26923076923077,28.46153846153846,81.79012345679013,96.29629629629629,95.65217391304348,80.76923076923077,80.76923076923077,84.0,63.41269841269842,88.57142857142857,100.0,100.0,0.0,25.368589743589745,2.2962962962962963,55.25641025641026,0.0,43.78205128205128,32.75641025641026,13.461538461538462,70.6944862794907,63.41269841269842,85.44039294039294,42.46296296296296,55.55555555555556,95.20976794360783,95.55555555555556,83.33333333333333,2.2962962962962963,32.75641025641026,25.30864197530864,14.814814814814815,25.925925925925927,18.51851851851852,3.7037037037037037,3.7037037037037037,85.18518518518519,86.38447971781305,80.95238095238095,71.42857142857143,53.333333333333336,96.29629629629629,90.47619047619048,95.23809523809524,92.5925925925926,84.21052631578948,84.21052631578948,73.6842105263158,73.6842105263158,94.73684210526316,100.0,68.42105263157895,84.21052631578948,100.0,94.73684210526316,76.3157894736842,89.47368421052632,84.21052631578948,21.523880783140044,81.48148148148148,7.407407407407407,11.11111111111111,25.589225589225588,3.6363636363636367,59.25925925925926,22.22222222222222,7.407407407407407,22.22222222222222,3.7037037037037037,45.45454545454545,4.545454545454546,4.545454545454546,88.88888888888889,72.72727272727273,4.545454545454546,4.545454545454546,13.636363636363637,27.272727272727273,4.545454545454546,4.545454545454546,4.545454545454546,100.0,13.636363636363637,13.636363636363637,33.333333333333336,66.66666666666667,0.0,0.0,4.545454545454546,0.0,4.545454545454546,0.0,48.44607934120096,204.03703703703704,137.55555555555554
SECONDARY,URBAN,11.0,100.0,36.36363636363637,100.0,100.0,100.0,75.78517316017316,68.03703703703704,72.44444444444444,56.0,75.0,80.49963924963924,95.0,95.0,77.95454545454545,94.54545454545455,68.18181818181819,90.9090909090909,66.36363636363636,98.18181818181819,31.818181818181817,73.48484848484848,81.81818181818181,88.88888888888889,88.88888888888889,87.5,100.0,63.70370370370371,91.11111111111111,,100.0,0.0,21.875,0.6363636363636364,62.5,0.0,50.0,25.0,0.0,66.04244441415193,63.70370370370371,94.70422993933965,16.174207372609636,40.0,88.46378914032786,100.0,100.0,0.6363636363636364,25.0,19.696969696969692,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0,81.81818181818181,68.3982683982684,72.72727272727273,80.0,100.0,72.72727272727273,72.72727272727273,72.72727272727273,54.54545454545455,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,34.00673400673401,100.0,0.0,0.0,34.00673400673401,,100.0,27.272727272727273,0.0,63.63636363636363,0.0,36.36363636363637,0.0,0.0,90.9090909090909,100.0,9.090909090909092,9.090909090909092,36.36363636363637,54.54545454545455,18.181818181818183,9.090909090909092,9.090909090909092,100.0,45.45454545454545,45.45454545454545,45.45454545454545,81.81818181818181,9.090909090909092,0.0,0.0,27.272727272727273,0.0,,19.22704313999761,242.36363636363637,105.0909090909091
TERTIARY,General,9.0,77.77777777777777,77.77777777777777,100.0,77.77777777777777,77.77777777777777,69.55798059964725,64.58333333333333,67.61904761904762,48.57142857142857,77.14285714285714,73.37522045855378,93.33333333333333,93.19444444444444,61.94444444444444,96.66666666666667,45.0,78.88888888888889,64.44444444444444,97.77777777777777,20.0,83.33333333333333,88.88888888888889,87.5,87.5,100.0,100.0,56.66666666666667,74.28571428571429,,94.28571428571429,0.0,39.583333333333336,1.3333333333333333,91.66666666666667,8.333333333333334,58.333333333333336,58.333333333333336,0.0,67.8821230839604,56.66666666666667,97.09096650531745,12.842866072504282,25.714285714285715,88.81511747157394,97.14285714285714,100.0,1.3333333333333333,58.333333333333336,20.370370370370367,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,66.66666666666667,84.92063492063491,85.71428571428571,100.0,100.0,77.77777777777777,85.71428571428571,71.42857142857143,88.88888888888889,87.5,87.5,62.5,62.5,100.0,87.5,62.5,87.5,87.5,87.5,75.0,87.5,87.5,53.46053123830902,88.88888888888889,11.11111111111111,0.0,57.87037037037037,18.181818181818183,88.88888888888889,66.66666666666667,44.44444444444444,77.77777777777777,11.11111111111111,87.5,37.5,12.5,100.0,75.0,62.5,50.0,75.0,100.0,50.0,50.0,12.5,100.0,87.5,87.5,77.77777777777777,88.88888888888889,22.22222222222222,0.0,0.0,37.5,12.5,0.0,20.19036634497751,512.0,284.8888888888889
TERTIARY,PERIURBAN,2.0,50.0,50.0,100.0,50.0,50.0,70.76388888888889,58.333333333333336,80.0,23.333333333333336,50.0,83.19444444444446,100.0,90.0,100.0,95.0,87.5,60.0,70.0,90.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,25.0,2.0,50.0,0.0,50.0,50.0,0.0,68.10746801014797,66.66666666666667,95.83333333333333,6.385630498533724,60.0,97.91363415817564,80.0,100.0,2.0,50.0,58.33333333333333,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,44.27609427609428,50.0,50.0,0.0,70.37037037037037,18.181818181818183,100.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,0.0,0.0,100.0,100.0,0.0,7.879924953095685,766.0,520.5
TERTIARY,RURAL,3.0,66.66666666666667,66.66666666666667,100.0,66.66666666666667,66.66666666666667,70.77314814814814,68.22222222222223,64.66666666666667,50.0,90.0,71.06481481481482,95.0,100.0,41.666666666666664,100.0,15.0,100.0,60.0,100.0,6.666666666666667,58.333333333333336,66.66666666666667,50.0,100.0,100.0,100.0,51.66666666666667,50.0,,100.0,0.0,25.0,1.3333333333333333,100.0,0.0,0.0,0.0,0.0,65.83592420344485,51.66666666666667,96.96969696969695,19.13617886178862,0.0,98.2642237222758,100.0,100.0,1.3333333333333333,0.0,11.111111111111109,0.0,0.0,0.0,0.0,0.0,66.66666666666667,83.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,100.0,50.0,50.0,100.0,50.0,50.0,100.0,100.0,100.0,75.0,100.0,100.0,48.14814814814815,100.0,0.0,0.0,48.14814814814815,,66.66666666666667,66.66666666666667,33.333333333333336,66.66666666666667,0.0,66.66666666666667,33.333333333333336,33.333333333333336,100.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,100.0,0.0,33.333333333333336,0.0,100.0,66.66666666666667,66.66666666666667,66.66666666666667,100.0,0.0,0.0,0.0,33.333333333333336,0.0,,29.481234761407176,202.0,59.333333333333336
TERTIARY,URBAN,4.0,100.0,100.0,100.0,100.0,100.0,68.04365079365078,65.88888888888889,66.0,54.16666666666667,77.5,70.1984126984127,88.75,89.6875,58.125,95.0,46.25,72.5,65.0,100.0,30.0,93.75,100.0,100.0,75.0,100.0,100.0,56.66666666666667,80.0,,90.0,0.0,54.166666666666664,1.0,100.0,16.666666666666668,100.0,100.0,0.0,69.30409978125329,56.66666666666667,98.05065815559402,10.85437699920032,30.0,81.8159351745726,100.0,100.0,1.0,100.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,50.0,78.57142857142857,75.0,100.0,100.0,50.0,75.0,50.0,100.0,100.0,100.0,75.0,75.0,100.0,100.0,75.0,100.0,100.0,100.0,87.5,100.0,100.0,62.03703703703704,100.0,0.0,0.0,62.03703703703704,,100.0,100.0,75.0,100.0,25.0,100.0,50.0,0.0,100.0,75.0,50.0,50.0,75.0,100.0,75.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,25.0,0.0,0.0,25.0,0.0,,15.00297839250844,617.5,336.25
