tHFA_A001,Q117,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,with lab,without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,100.0,100.0,71.66666666666667,100.0,80.0,88.97175569755227,84.82193407488393,72.08668503213957,87.31099656357388,96.27976190476191,92.70735377484326,95.54271708683473,95.92436974789916,89.25070028011206,94.21610169491525,92.04131652661064,99.11764705882354,94.66386554621849,95.92436974789916,65.57291666666667,69.02777777777777,75.0,81.11111111111111,96.66666666666667,94.44444444444444,100.0,52.782828282828284,83.0072463768116,70.625,29.727272727272727,48.060606060606055,37.86616161616162,1.4416666666666667,64.1919191919192,14.494949494949497,30.90909090909091,41.868686868686865,68.30328326457166,52.782828282828284,91.09031320862063,18.27354950763048,76.12244897959184,85.45589903749165,97.35416666666667,76.6849816849817,1.4416666666666667,30.90909090909091,92.22222222222221,90.83333333333333,90.0,90.83333333333333,90.83333333333333,90.83333333333333,100.0,95.7876984126984,99.16666666666667,99.06542056074767,97.5,93.02325581395348,100.0,93.75,86.53846153846153,81.09243697478992,66.38655462184875,95.7983193277311,58.21491753695144,58.53818420190102,50.909090909090914,86.44067796610169,71.1864406779661,56.779661016949156,76.27118644067797,21.1864406779661,92.03539823008849,58.4070796460177,49.557522123893804,56.779661016949156,73.45132743362832,48.67256637168141,33.6283185840708,46.017699115044245,80.53097345132744,43.36283185840708,41.5929203539823,47.78761061946903,92.92035398230088,69.02654867256638,70.79646017699115,66.94915254237289,91.52542372881356,18.64406779661017,22.033898305084747,84.070796460177,42.47787610619469,37.16814159292036,20.0,12.10068882522985,340.6666666666667,186.48333333333332
PERIURBAN,General,6.0,100.0,100.0,50.0,100.0,66.66666666666667,91.74663299663298,87.47474747474747,74.09090909090908,88.33333333333333,100.0,96.01851851851852,97.5,99.16666666666667,87.70833333333333,96.66666666666667,96.66666666666667,100.0,93.33333333333333,100.0,91.66666666666667,73.61111111111111,83.33333333333333,80.0,100.0,80.0,100.0,50.555555555555564,92.5,100.0,3.3333333333333335,53.333333333333336,57.29166666666667,1.5,70.83333333333334,37.5,75.0,45.833333333333336,73.95695099842983,50.555555555555564,98.69185360094451,15.462365091804747,100.0,98.11320754716982,100.0,66.66666666666667,1.5,75.0,86.1111111111111,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,100.0,91.1111111111111,100.0,100.0,100.0,100.0,100.0,75.0,66.66666666666667,75.0,50.0,100.0,50.617283950617285,50.617283950617285,,100.0,50.0,50.0,66.66666666666667,16.666666666666668,83.33333333333333,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336,50.0,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,83.33333333333333,50.0,50.0,66.66666666666667,83.33333333333333,16.666666666666668,16.666666666666668,66.66666666666667,50.0,33.333333333333336,,3.3482142857142856,421.0,174.5
PRIMARY,General,65.0,100.0,100.0,72.3076923076923,100.0,95.38461538461539,88.56946572368122,84.04288667326303,72.5769560006848,86.91176470588235,94.80874316939891,92.75363498263889,95.9375,95.625,87.87109375,93.59375,91.69921875,99.375,94.921875,96.171875,67.91666666666667,69.74358974358974,75.38461538461539,81.63265306122449,93.87755102040816,95.91836734693878,100.0,53.983050847457626,83.54166666666667,75.41666666666667,29.322033898305083,51.186440677966104,35.56944444444444,2.4307692307692306,63.11111111111111,9.61111111111111,27.666666666666668,41.88888888888889,70.400500607416,53.983050847457626,90.80370970403577,20.038898230125636,78.4,88.97256318900115,99.53488372093024,77.1875,2.4307692307692306,27.666666666666668,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.18681318681318,100.0,98.24561403508773,95.38461538461539,95.74468085106383,100.0,98.38709677419355,100.0,73.07692307692308,50.76923076923077,95.38461538461539,48.01453690342579,48.650345260514754,38.63636363636364,87.3015873015873,65.07936507936508,46.03174603174603,73.01587301587301,12.698412698412698,94.91525423728814,45.76271186440678,37.28813559322034,55.55555555555556,71.1864406779661,32.20338983050848,15.254237288135593,16.949152542372882,72.88135593220339,11.864406779661017,15.254237288135593,15.254237288135593,96.61016949152543,54.23728813559322,55.932203389830505,50.79365079365079,95.23809523809524,14.285714285714286,11.11111111111111,81.35593220338983,42.3728813559322,37.28813559322034,0.0,13.855503805946396,164.98461538461538,108.49230769230769
PRIMARY,PERIURBAN,3.0,100.0,100.0,66.66666666666667,100.0,100.0,93.42213804713805,88.46464646464646,72.06060606060606,93.33333333333333,100.0,98.37962962962963,100.0,100.0,85.41666666666667,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,100.0,100.0,100.0,100.0,47.22222222222223,100.0,100.0,6.666666666666667,33.333333333333336,43.055555555555564,2.0,61.111111111111114,16.666666666666668,66.66666666666667,27.777777777777782,68.76955744200377,47.22222222222223,100.0,20.72068965517241,100.0,98.11320754716982,100.0,33.333333333333336,2.0,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,41.97530864197531,41.97530864197531,,100.0,33.333333333333336,33.333333333333336,100.0,33.333333333333336,100.0,0.0,33.333333333333336,33.333333333333336,66.66666666666667,33.333333333333336,0.0,33.333333333333336,66.66666666666667,0.0,0.0,0.0,100.0,33.333333333333336,33.333333333333336,66.66666666666667,100.0,0.0,0.0,66.66666666666667,33.333333333333336,33.333333333333336,,6.696428571428571,93.66666666666667,16.0
PRIMARY,RURAL,33.0,100.0,100.0,81.81818181818181,100.0,93.93939393939394,87.31425448265726,82.97289027844583,69.5,83.01282051282053,95.3125,91.65561868686868,93.33333333333333,93.63636363636364,86.47727272727273,91.66666666666667,87.27272727272727,100.0,97.42424242424242,95.0,62.4,65.40404040404042,75.75757575757575,64.0,92.0,92.0,100.0,47.552083333333336,78.07692307692308,73.33333333333333,24.0625,45.0,26.021505376344084,2.6666666666666665,48.494623655913976,3.0107526881720434,12.150537634408602,40.43010752688172,65.7831551576757,47.552083333333336,89.00747069091206,14.217396143704935,66.92307692307692,84.48739435040129,99.23076923076923,70.90277777777779,2.6666666666666665,12.150537634408602,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.42857142857143,100.0,96.29629629629629,90.9090909090909,92.5925925925926,100.0,96.7741935483871,100.0,71.21212121212122,48.484848484848484,93.93939393939394,48.260381593714925,48.260381593714925,,90.9090909090909,66.66666666666667,54.54545454545455,72.72727272727273,15.151515151515152,90.9090909090909,42.42424242424242,36.36363636363637,63.63636363636363,69.6969696969697,39.39393939393939,18.181818181818183,18.181818181818183,78.78787878787878,15.151515151515152,18.181818181818183,18.181818181818183,96.96969696969697,42.42424242424242,45.45454545454545,39.39393939393939,93.93939393939394,15.151515151515152,12.121212121212121,78.78787878787878,45.45454545454545,24.242424242424242,,11.772047553259757,166.27272727272728,75.81818181818181
PRIMARY,URBAN,29.0,100.0,100.0,62.06896551724138,100.0,96.55172413793103,89.52889265166051,84.89075596767904,76.74410774410774,90.64393939393939,93.58974358974359,93.44494047619048,98.57142857142857,97.5,89.77678571428571,95.17857142857143,96.02678571428571,98.57142857142857,91.42857142857143,97.14285714285714,70.0,75.0,75.86206896551724,100.0,95.45454545454545,100.0,100.0,63.40277777777778,88.42105263157895,75.0,39.166666666666664,61.666666666666664,46.089743589743584,2.206896551724138,80.76923076923077,16.666666666666664,41.666666666666664,45.25641025641026,75.8234395500942,63.40277777777778,91.87123747303814,26.191353071639472,89.52380952380952,92.96501346053898,100.0,90.63492063492063,2.206896551724138,41.666666666666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.58620689655173,58.62068965517241,96.55172413793103,48.385085422122465,50.08051529790661,38.63636363636364,81.48148148148148,66.66666666666667,37.03703703703704,70.37037037037037,7.407407407407407,100.0,56.52173913043478,39.130434782608695,48.148148148148145,73.91304347826087,21.73913043478261,13.043478260869565,13.043478260869565,65.21739130434783,8.695652173913043,13.043478260869565,13.043478260869565,95.65217391304348,73.91304347826087,73.91304347826087,62.96296296296296,96.29629629629629,14.814814814814815,11.11111111111111,86.95652173913044,39.130434782608695,56.52173913043478,0.0,17.05641372468118,170.89655172413794,155.24137931034483
RURAL,General,44.0,100.0,100.0,77.27272727272727,100.0,81.81818181818181,87.32076030643738,82.93139124728272,70.33597883597884,82.96875,95.23809523809524,91.42321654040404,93.06818181818181,93.63636363636364,86.9034090909091,90.68181818181819,87.5,99.54545454545455,97.1590909090909,96.25,56.96969696969697,61.93181818181818,72.72727272727273,65.625,93.75,87.5,100.0,49.72222222222223,80.85714285714286,71.66666666666667,27.857142857142858,46.19047619047619,27.239583333333332,2.1136363636363638,50.104166666666664,5.416666666666667,14.270833333333334,39.166666666666664,64.37000139569768,49.72222222222223,90.81504488275459,14.799285902025856,64.11764705882354,84.48739435040129,94.50980392156863,64.88505747126437,2.1136363636363638,14.270833333333334,94.31818181818181,93.18181818181819,93.18181818181819,93.18181818181819,93.18181818181819,93.18181818181819,100.0,96.56385281385282,97.72727272727273,97.05882352941177,93.18181818181819,94.11764705882354,100.0,97.22222222222223,100.0,75.0,54.54545454545455,95.45454545454545,53.535353535353536,53.535353535353536,,88.63636363636364,63.63636363636363,47.72727272727273,75.0,25.0,90.9090909090909,52.27272727272727,43.18181818181818,63.63636363636363,70.45454545454545,47.72727272727273,29.545454545454547,34.09090909090909,81.81818181818181,31.818181818181817,29.545454545454547,31.818181818181817,95.45454545454545,52.27272727272727,54.54545454545455,45.45454545454545,93.18181818181819,18.181818181818183,20.454545454545453,81.81818181818181,47.72727272727273,29.545454545454547,,11.831561165943594,228.36363636363637,87.27272727272727
SECONDARY,General,46.0,100.0,100.0,69.56521739130434,100.0,56.52173913043478,89.60165840600622,85.81395015918825,72.3982683982684,87.38738738738739,97.61904761904762,92.84657522429261,95.46195652173913,96.41304347826087,90.19021739130434,94.72222222222223,91.79347826086956,98.58695652173913,93.26086956521739,95.65217391304348,66.375,65.39855072463769,71.73913043478261,81.81818181818181,100.0,90.9090909090909,100.0,52.486772486772495,79.76851851851852,63.80952380952381,27.61904761904762,50.63492063492063,58.0,0.2826086956521739,80.0,56.0,56.0,40.0,65.04496250385293,52.486772486772495,91.9438737440765,16.379898834823237,70.25641025641026,70.98686972642727,93.81720430107528,73.77450980392157,0.2826086956521739,56.0,81.88405797101449,78.26086956521739,78.26086956521739,78.26086956521739,78.26086956521739,78.26086956521739,100.0,94.54451345755695,97.82608695652173,100.0,100.0,90.625,100.0,92.3076923076923,74.28571428571429,88.88888888888889,82.22222222222223,95.55555555555556,68.27697262479872,67.57201646090536,100.0,84.78260869565217,73.91304347826087,65.21739130434783,80.43478260869566,30.434782608695652,86.66666666666667,71.11111111111111,62.22222222222222,56.52173913043478,73.33333333333333,62.22222222222222,46.666666666666664,75.55555555555556,86.66666666666667,73.33333333333333,64.44444444444444,80.0,86.66666666666667,82.22222222222223,84.44444444444444,82.6086956521739,89.1304347826087,26.08695652173913,36.95652173913044,84.44444444444444,44.44444444444444,42.22222222222222,100.0,8.788349824580102,415.4782608695652,224.80434782608697
SECONDARY,PERIURBAN,2.0,100.0,100.0,50.0,100.0,50.0,90.00252525252526,84.72727272727272,79.18181818181819,75.0,100.0,95.27777777777777,97.5,100.0,92.5,95.0,92.5,100.0,80.0,100.0,100.0,70.83333333333334,100.0,50.0,100.0,50.0,100.0,64.16666666666667,87.5,100.0,0.0,100.0,100.0,1.5,100.0,100.0,100.0,100.0,81.95292207792208,64.16666666666667,94.28571428571428,6.4935064935064934,100.0,,100.0,100.0,1.5,100.0,58.33333333333333,50.0,50.0,50.0,50.0,50.0,100.0,83.33333333333334,100.0,100.0,100.0,100.0,100.0,0.0,50.0,100.0,100.0,100.0,53.7037037037037,53.7037037037037,,100.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,,0.0,671.0,499.5
SECONDARY,RURAL,11.0,100.0,100.0,63.63636363636363,100.0,45.45454545454545,87.34027777777777,82.79444444444445,73.0111111111111,82.77777777777779,95.0,90.7260101010101,92.27272727272727,93.63636363636364,88.18181818181819,87.72727272727273,88.18181818181819,98.18181818181819,96.36363636363636,100.0,40.0,51.51515151515152,63.63636363636363,71.42857142857143,100.0,71.42857142857143,,56.66666666666667,88.88888888888889,66.66666666666667,40.0,50.0,65.0,0.45454545454545453,100.0,80.0,80.0,0.0,60.130540109763686,56.66666666666667,96.59928229665073,16.603144152820708,55.0,,79.16666666666667,36.0,0.45454545454545453,80.0,77.27272727272727,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273,100.0,96.96969696969698,90.9090909090909,100.0,100.0,100.0,100.0,100.0,100.0,86.36363636363636,72.72727272727273,100.0,69.36026936026936,69.36026936026936,,81.81818181818181,54.54545454545455,27.272727272727273,81.81818181818181,54.54545454545455,90.9090909090909,81.81818181818181,63.63636363636363,63.63636363636363,72.72727272727273,72.72727272727273,63.63636363636363,81.81818181818181,90.9090909090909,81.81818181818181,63.63636363636363,72.72727272727273,90.9090909090909,81.81818181818181,81.81818181818181,63.63636363636363,90.9090909090909,27.272727272727273,45.45454545454545,90.9090909090909,54.54545454545455,45.45454545454545,,12.010102003995105,414.6363636363636,121.63636363636364
SECONDARY,URBAN,33.0,100.0,100.0,72.72727272727273,100.0,60.60606060606061,90.33115698835395,86.89289722623056,71.74175084175084,89.19540229885057,98.33333333333333,93.40608465608466,96.40151515151516,97.12121212121212,90.71969696969697,97.109375,92.95454545454545,98.63636363636364,93.03030303030303,93.93939393939394,71.16666666666667,69.6969696969697,72.72727272727273,87.5,100.0,100.0,100.0,50.31481481481482,75.86666666666667,61.1764705882353,25.333333333333332,47.55555555555556,41.666666666666664,0.15151515151515152,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,65.65837847921182,50.31481481481482,90.46217901476194,16.61183638516693,72.41379310344827,70.98686972642727,98.86363636363636,78.82716049382717,0.15151515151515152,33.333333333333336,84.84848484848484,81.81818181818181,81.81818181818181,81.81818181818181,81.81818181818181,81.81818181818181,100.0,94.41558441558442,100.0,100.0,100.0,87.5,100.0,95.0,69.23076923076923,89.0625,84.375,93.75,68.79910213243546,67.82407407407408,100.0,84.84848484848484,81.81818181818181,78.78787878787878,81.81818181818181,24.242424242424242,87.5,68.75,62.5,54.54545454545455,75.0,56.25,40.625,75.0,87.5,71.875,65.625,84.375,87.5,84.375,87.5,90.9090909090909,90.9090909090909,24.242424242424242,33.333333333333336,84.375,37.5,40.625,100.0,7.769690173729236,400.27272727272725,242.54545454545453
TERTIARY,General,9.0,100.0,100.0,77.77777777777777,100.0,88.88888888888889,88.61298166853722,85.55929667040779,67.41863075196409,89.25925925925927,100.0,91.66666666666667,93.14814814814815,95.55555555555556,94.25925925925927,96.11111111111111,95.74074074074073,100.0,100.0,95.55555555555556,47.5,82.4074074074074,88.88888888888889,75.0,100.0,100.0,100.0,46.2962962962963,94.375,80.0,42.22222222222222,15.555555555555555,75.0,0.2222222222222222,50.0,100.0,100.0,50.0,69.81035300992477,46.2962962962963,88.65273286221903,14.78650701842098,88.88888888888889,69.34794486504069,100.0,85.0,0.2222222222222222,100.0,88.88888888888889,88.88888888888889,77.77777777777777,88.88888888888889,88.88888888888889,88.88888888888889,100.0,84.81481481481481,100.0,100.0,100.0,85.71428571428571,100.0,62.5,37.5,100.0,100.0,100.0,78.18930041152264,78.18930041152264,,88.88888888888889,100.0,88.88888888888889,77.77777777777777,33.333333333333336,100.0,77.77777777777777,66.66666666666667,66.66666666666667,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888889,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.77777777777777,11.11111111111111,22.22222222222222,100.0,33.333333333333336,11.11111111111111,,14.970666245622803,1227.111111111111,553.8888888888889
TERTIARY,PERIURBAN,1.0,100.0,100.0,0.0,100.0,0.0,90.20833333333333,90.0,70.0,100.0,100.0,90.41666666666666,90.0,95.0,85.0,90.0,95.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,,33.333333333333336,80.0,,0.0,20.0,,0.0,,,,,73.5271895087236,33.333333333333336,99.17355371900827,8.65625,100.0,,100.0,100.0,0.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,,100.0,,0.0,100.0,100.0,100.0,70.37037037037037,70.37037037037037,,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,,0.0,903.0,0.0
TERTIARY,URBAN,8.0,100.0,100.0,87.5,100.0,100.0,88.41356271043772,85.00420875420876,67.0959595959596,87.91666666666667,100.0,91.82291666666667,93.54166666666667,95.625,95.41666666666667,96.875,95.83333333333333,100.0,100.0,95.0,47.142857142857146,80.20833333333333,87.5,71.42857142857143,100.0,100.0,100.0,47.91666666666667,96.42857142857143,80.0,47.5,15.0,75.0,0.25,50.0,100.0,100.0,50.0,69.3457484475749,47.91666666666667,87.14975845410628,15.66225802105255,87.5,69.34794486504069,100.0,83.125,0.25,100.0,87.5,87.5,75.0,87.5,87.5,87.5,100.0,85.41666666666666,100.0,100.0,100.0,85.71428571428571,100.0,62.5,42.857142857142854,100.0,100.0,100.0,79.16666666666667,79.16666666666667,,87.5,100.0,87.5,87.5,37.5,100.0,75.0,75.0,75.0,87.5,87.5,87.5,87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,12.5,25.0,100.0,37.5,12.5,,18.713332807028504,1267.625,623.125
URBAN,General,70.0,100.0,100.0,70.0,100.0,80.0,89.78327067457502,85.84344128094128,73.07869012707722,89.56214689265538,96.61458333333333,93.23829652634001,96.95048309178743,97.10144927536231,90.88164251207729,96.28676470588235,94.53502415458938,98.76811594202898,93.18840579710145,95.3623188405797,67.80701754385964,73.0952380952381,75.71428571428571,90.56603773584905,98.11320754716981,100.0,100.0,55.07168458781363,83.36601307189544,68.52941176470588,33.54838709677419,48.817204301075265,46.61111111111111,1.0142857142857142,78.33333333333333,21.11111111111111,42.77777777777778,44.22222222222222,70.2910317763903,55.07168458781363,90.70139508692581,20.541676028049586,80.6896551724138,85.5218994876408,99.4047619047619,83.86904761904762,1.0142857142857142,42.77777777777778,91.42857142857143,90.0,88.57142857142857,90.0,90.0,90.0,100.0,95.70068027210884,100.0,100.0,100.0,91.83673469387755,100.0,92.85714285714286,80.32786885245902,85.5072463768116,75.3623188405797,95.65217391304348,61.91325014854426,62.786596119929456,50.909090909090914,83.82352941176471,77.94117647058823,63.23529411764706,77.94117647058823,19.11764705882353,93.65079365079364,65.07936507936508,55.55555555555556,54.411764705882355,76.19047619047619,47.61904761904762,36.507936507936506,53.96825396825397,80.95238095238095,52.38095238095238,50.79365079365079,60.317460317460316,92.06349206349206,82.53968253968254,84.12698412698413,80.88235294117646,91.17647058823529,19.11764705882353,23.529411764705884,87.3015873015873,38.095238095238095,42.857142857142854,20.0,12.998237933651662,404.37142857142857,249.87142857142857
