,,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM_ANC,presence_score,caseload,ANC_dropout,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts,doctor_posts,doctor_vacancies,nurses_posts,nurses_vacancies,lab-tech_posts,lab-tech_vacancies,pharmacists_posts,pharmacists_vacancies,CHW_posts,CHW_vacancies
COUNTRY,AVERAGE,120.0,82.5,63.333333333333336,94.16666666666667,60.0,43.333333333333336,69.12081148018648,66.30425810572869,64.27438672438673,51.619496855345915,78.5730593607306,72.31471342467805,86.95361635220125,92.59827044025158,68.37301587301587,75.91579861111111,58.75,84.65408805031447,72.59433962264151,95.53968253968254,15.412698412698415,38.48870056497175,59.66386554621849,53.03030303030303,68.1159420289855,68.18181818181819,86.66666666666667,47.51984126984128,52.40196078431372,73.33333333333333,71.88095238095238,15.428571428571429,15.583333333333334,1.0916666666666666,47.666666666666664,0.0,40.88888888888889,4.0,10.666666666666666,56.73394708611311,47.51984126984128,85.22376326432995,12.0609068169798,59.114583333333336,86.28790937680547,80.86666666666667,56.36363636363637,1.0916666666666666,4.0,54.72222222222222,51.666666666666664,45.0,46.666666666666664,49.166666666666664,48.333333333333336,87.5,76.5852665852666,68.68686868686869,87.71929824561404,78.94736842105263,92.03539823008849,56.94444444444444,80.76923076923077,72.91666666666667,76.92307692307692,70.51282051282051,64.1025641025641,61.53846153846154,94.87179487179488,73.07692307692308,44.87179487179487,83.33333333333333,76.92307692307692,75.64102564102564,64.1025641025641,87.17948717948718,85.8974358974359,25.662177328843995,71.66666666666667,3.3333333333333335,25.0,34.539190353143844,3.2085561497326203,45.0,10.0,7.5,35.0,4.166666666666667,66.27906976744185,18.6046511627907,10.465116279069768,65.83333333333333,40.69767441860465,30.232558139534884,23.25581395348837,70.93023255813954,53.48837209302326,37.2093023255814,18.6046511627907,6.976744186046512,86.04651162790698,46.51162790697674,61.627906976744185,28.333333333333332,51.666666666666664,2.5,7.5,2.3255813953488373,11.627906976744185,2.3255813953488373,0.0,13.00358960612625,180.18333333333334,226.76666666666668,74.8,133.825,98.34166666666667,134.05833333333334,53.15,84.775,76.025,116.675,134.425,141.6
General,PERIURBAN,15.0,86.66666666666667,53.333333333333336,93.33333333333333,53.333333333333336,40.0,70.17932513914657,65.65569384319384,65.26704545454545,34.72222222222222,82.5,71.97916666666667,89.28571428571429,97.5,68.57142857142857,62.857142857142854,58.92857142857143,91.07142857142857,67.85714285714286,100.0,13.214285714285714,48.88888888888889,73.33333333333333,81.81818181818181,45.45454545454545,70.0,100.0,46.25,46.25,66.66666666666667,77.5,6.25,23.0,1.3333333333333333,56.0,0.0,59.333333333333336,12.0,24.0,58.07547212381827,46.25,86.87950618844029,8.277495372125937,65.23809523809524,84.81688087297441,66.66666666666667,78.66666666666667,1.3333333333333333,12.0,58.88888888888889,53.333333333333336,40.0,53.333333333333336,53.333333333333336,53.333333333333336,100.0,75.05102040816327,61.53846153846154,85.71428571428571,100.0,85.71428571428571,37.5,100.0,69.23076923076923,88.88888888888889,77.77777777777777,88.88888888888889,88.88888888888889,100.0,88.88888888888889,55.55555555555556,77.77777777777777,66.66666666666667,77.77777777777777,66.66666666666667,77.77777777777777,77.77777777777777,23.546576879910216,66.66666666666667,6.666666666666667,26.666666666666668,32.592592592592595,5.454545454545455,53.333333333333336,0.0,0.0,33.333333333333336,0.0,80.0,20.0,20.0,73.33333333333333,20.0,20.0,10.0,80.0,60.0,20.0,20.0,0.0,90.0,30.0,50.0,26.666666666666668,66.66666666666667,0.0,0.0,0.0,10.0,0.0,0.0,6.798300165837479,171.86666666666667,335.06666666666666,5.133333333333334,67.0,80.66666666666667,134.33333333333334,1.7333333333333334,66.93333333333334,0.9333333333333333,66.8,0.4,66.6
General,RURAL,34.0,67.6470588235294,44.11764705882353,97.05882352941177,76.47058823529412,67.6470588235294,63.94642238208415,59.41006042568542,58.675990675990676,38.333333333333336,71.0,69.75044879062736,85.86309523809523,94.28571428571429,65.61728395061729,68.58974358974359,52.00892857142857,78.45238095238095,68.45238095238095,95.35714285714286,20.37037037037037,41.1764705882353,64.70588235294117,40.90909090909091,63.63636363636363,71.42857142857143,100.0,39.3482905982906,36.15384615384615,50.0,65.83333333333334,15.76923076923077,14.833333333333334,1.911764705882353,48.666666666666664,0.0,50.0,4.0,6.666666666666667,57.217472753009666,39.3482905982906,84.26702085792995,21.88311167998668,63.19444444444445,86.56844558396789,85.18518518518518,48.75,1.911764705882353,4.0,61.76470588235294,61.76470588235294,55.88235294117647,55.88235294117647,58.8235294117647,58.8235294117647,79.41176470588235,68.83838383838383,56.52173913043478,83.33333333333333,80.0,84.84848484848484,38.46153846153846,78.26086956521739,74.19354838709677,87.5,62.5,50.0,37.5,100.0,50.0,25.0,100.0,75.0,87.5,62.5,100.0,100.0,10.130718954248366,44.11764705882353,0.0,55.88235294117647,22.962962962962965,0.0,17.647058823529413,0.0,5.882352941176471,8.823529411764707,2.9411764705882355,60.0,0.0,6.666666666666667,35.294117647058826,26.666666666666668,6.666666666666667,20.0,40.0,46.666666666666664,20.0,6.666666666666667,6.666666666666667,73.33333333333333,26.666666666666668,53.333333333333336,8.823529411764707,14.705882352941176,0.0,0.0,0.0,13.333333333333334,0.0,0.0,18.715277777777775,66.70588235294117,119.02941176470588,30.5,29.794117647058822,33.029411764705884,29.823529411764707,29.88235294117647,29.470588235294116,29.970588235294116,29.470588235294116,32.705882352941174,29.647058823529413
General,URBAN,71.0,88.73239436619718,74.64788732394366,92.95774647887323,53.521126760563384,32.394366197183096,71.42238345318702,70.24213908696667,68.09708193041527,56.03658536585366,80.21666666666667,73.50998005539022,86.92057291666667,90.78776041666667,69.4921875,82.58184523809523,61.66015625,85.96354166666667,75.44270833333333,94.62962962962963,13.802083333333334,34.90338164251208,54.285714285714285,51.515151515151516,77.77777777777777,65.71428571428571,60.0,53.70370370370371,66.27450980392157,87.5,75.0,17.22222222222222,13.0,0.647887323943662,42.0,0.0,18.0,0.0,10.0,56.204052184083245,53.70370370370371,85.3636315722242,7.7051935605086985,54.84848484848485,86.45665559206128,80.96491228070175,52.986111111111114,0.647887323943662,0.0,50.46948356807512,46.478873239436616,40.84507042253521,40.84507042253521,43.66197183098591,42.25352112676056,88.73239436619718,80.54421768707483,74.60317460317461,88.63636363636364,75.47169811320755,96.96969696969697,73.6842105263158,78.26086956521739,73.07692307692308,73.77049180327869,70.49180327868852,62.295081967213115,60.65573770491803,93.44262295081967,73.77049180327869,45.90163934426229,81.9672131147541,78.68852459016394,73.77049180327869,63.9344262295082,86.88524590163935,85.24590163934427,33.54673495518566,85.91549295774648,4.225352112676056,9.859154929577464,37.704918032786885,8.181818181818183,56.33802816901409,16.901408450704224,9.859154929577464,47.88732394366197,5.633802816901408,65.57377049180327,22.950819672131146,9.836065573770492,78.87323943661971,47.540983606557376,37.704918032786885,26.229508196721312,77.04918032786885,54.09836065573771,44.26229508196721,21.311475409836067,8.19672131147541,88.52459016393442,54.09836065573771,65.57377049180327,38.028169014084504,66.19718309859155,4.225352112676056,12.67605633802817,3.278688524590164,11.475409836065573,3.278688524590164,0.0,11.060518481741214,236.28169014084506,255.4788732394366,110.73239436619718,197.7605633802817,133.35211267605635,183.91549295774647,75.15492957746478,115.02816901408451,113.94366197183099,168.9718309859155,211.45070422535213,211.05633802816902
PRIMARY,General,33.0,57.57575757575758,15.151515151515152,93.93939393939394,81.81818181818181,78.78787878787878,65.51976047679173,60.334802102659246,61.35690235690235,29.166666666666668,64.0,71.14417989417989,84.49404761904762,95.0,66.88271604938271,68.33333333333334,53.407738095238095,86.01190476190477,75.17857142857143,96.42857142857143,14.444444444444445,49.74747474747475,66.66666666666667,52.38095238095238,77.27272727272727,72.72727272727273,100.0,40.77160493827161,34.074074074074076,40.0,70.74074074074075,16.296296296296298,15.131578947368421,2.515151515151515,50.0,0.0,49.29824561403509,3.1578947368421053,7.368421052631579,56.90588277913323,40.77160493827161,86.19268914187245,19.10225216980732,55.6,88.46608591831092,100.0,50.0,2.515151515151515,3.1578947368421053,62.121212121212125,63.63636363636363,51.515151515151516,57.57575757575758,60.60606060606061,60.60606060606061,78.78787878787878,67.88690476190476,42.10526315789474,100.0,80.0,77.41935483870968,40.74074074074074,80.76923076923077,73.33333333333333,100.0,100.0,33.333333333333336,33.333333333333336,100.0,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,50.0,66.66666666666667,66.66666666666667,4.938271604938271,18.181818181818183,0.0,81.81818181818181,27.160493827160494,0.0,3.0303030303030303,3.0303030303030303,0.0,9.090909090909092,0.0,50.0,0.0,0.0,12.121212121212121,33.333333333333336,33.333333333333336,16.666666666666668,66.66666666666667,50.0,50.0,0.0,0.0,83.33333333333333,50.0,66.66666666666667,3.0303030303030303,12.121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,18.496810207336523,42.60606060606061,183.0909090909091,1.3333333333333333,30.575757575757574,2.8484848484848486,0.3939393939393939,0.696969696969697,30.303030303030305,0.5151515151515151,0.18181818181818182,3.5454545454545454,0.15151515151515152
PRIMARY,PERIURBAN,4.0,75.0,0.0,100.0,75.0,75.0,72.1071127946128,66.73737373737374,71.18181818181819,58.333333333333336,,77.47685185185185,68.33333333333333,100.0,71.66666666666667,66.66666666666667,65.0,100.0,93.33333333333333,100.0,33.333333333333336,43.75,50.0,100.0,100.0,50.0,100.0,56.666666666666664,40.0,0.0,100.0,16.666666666666668,18.333333333333332,3.25,60.0,0.0,62.22222222222223,0.0,13.333333333333334,60.314675112653234,56.666666666666664,97.36842105263158,10.752450980392158,50.0,95.02000470698988,,,3.25,0.0,91.66666666666666,100.0,50.0,100.0,100.0,100.0,100.0,62.5,33.333333333333336,100.0,,50.0,0.0,100.0,75.0,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,254.25,251.0,0.75,0.5,2.5,0.25,0.0,0.0,0.25,0.0,1.25,0.0
PRIMARY,RURAL,22.0,50.0,13.636363636363637,95.45454545454545,86.36363636363636,90.9090909090909,61.93429150815514,57.04902597402597,57.83732057416268,,50.0,67.55033803644915,83.37962962962962,94.16666666666667,65.04901960784314,58.33333333333333,48.35648148148149,84.07407407407408,65.0,96.66666666666667,12.352941176470589,55.68181818181818,77.27272727272727,47.05882352941177,70.58823529411765,76.47058823529412,100.0,36.35964912280702,30.0,33.333333333333336,64.73684210526316,15.263157894736842,14.833333333333334,2.9545454545454546,48.666666666666664,0.0,50.0,4.0,6.666666666666667,56.647349377594736,36.35964912280702,82.95454545454545,24.674603174603174,58.8235294117647,86.05669008244189,100.0,,2.9545454545454546,4.0,62.878787878787875,63.63636363636363,59.09090909090909,59.09090909090909,59.09090909090909,59.09090909090909,77.27272727272727,62.46031746031746,27.272727272727273,,66.66666666666667,76.19047619047619,36.8421052631579,75.0,75.0,,,,,,,,,,,,,,2.356902356902357,13.636363636363637,0.0,86.36363636363636,17.283950617283953,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0.0,0.0,4.545454545454546,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.0,0.0,66.66666666666667,33.333333333333336,66.66666666666667,4.545454545454546,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,23.1547619047619,4.0,92.22727272727273,0.5,0.2727272727272727,2.0,0.45454545454545453,0.09090909090909091,0.045454545454545456,0.5,0.13636363636363635,4.909090909090909,0.22727272727272727
PRIMARY,URBAN,7.0,71.42857142857143,28.571428571428573,85.71428571428571,71.42857142857143,42.857142857142854,73.96522624201195,69.63636363636364,68.83636363636364,0.0,85.0,77.67148526077098,94.28571428571429,95.0,69.28571428571429,97.5,61.42857142857143,85.0,93.57142857142857,94.28571428571429,11.428571428571429,34.523809523809526,42.857142857142854,50.0,100.0,66.66666666666667,100.0,48.0,46.0,100.0,76.0,20.0,10.0,0.7142857142857143,40.0,0.0,0.0,0.0,0.0,55.77053499338562,48.0,89.98357963875206,7.156514120799835,48.0,95.56541019955654,100.0,50.0,0.7142857142857143,0.0,42.857142857142854,42.857142857142854,28.571428571428573,28.571428571428573,42.857142857142854,42.857142857142854,71.42857142857143,87.24489795918366,80.0,100.0,100.0,100.0,80.0,100.0,66.66666666666667,100.0,100.0,33.333333333333336,33.333333333333336,100.0,66.66666666666667,33.333333333333336,66.66666666666667,66.66666666666667,66.66666666666667,50.0,66.66666666666667,66.66666666666667,15.873015873015873,42.857142857142854,0.0,57.142857142857146,37.03703703703704,0.0,14.285714285714286,14.285714285714286,0.0,42.857142857142854,0.0,33.333333333333336,0.0,0.0,42.857142857142854,66.66666666666667,66.66666666666667,0.0,100.0,66.66666666666667,66.66666666666667,0.0,0.0,100.0,66.66666666666667,66.66666666666667,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,9.09090909090909,43.0,429.85714285714283,4.285714285714286,143.0,5.714285714285714,0.2857142857142857,3.0,142.71428571428572,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.0
SECONDARY,General,60.0,100.0,90.0,100.0,55.0,25.0,69.8859383809066,68.32830017205018,65.38791137178234,55.24305555555556,78.74213836477986,72.20980583008885,86.98899371069183,91.17924528301887,67.75943396226415,76.14583333333333,59.89779874213837,81.22641509433963,75.22012578616352,93.67924528301887,15.943396226415095,40.69444444444444,65.0,54.054054054054056,63.1578947368421,72.22222222222223,63.63636363636363,51.415770609319,58.04597701149425,83.33333333333333,73.27956989247312,18.387096774193548,17.22222222222222,0.6833333333333333,42.22222222222222,0.0,32.22222222222222,6.666666666666667,20.0,54.76818495852069,51.415770609319,83.7645503326936,8.946893509920628,60.864197530864196,92.16783115474524,78.38095238095238,57.43055555555555,0.6833333333333333,6.666666666666667,58.61111111111111,55.0,50.0,50.0,53.333333333333336,51.666666666666664,91.66666666666667,80.48412698412699,78.33333333333333,88.0952380952381,79.62962962962963,96.66666666666667,63.63636363636363,86.66666666666667,70.0,71.69811320754717,62.264150943396224,64.15094339622641,58.490566037735846,94.33962264150944,67.9245283018868,41.509433962264154,79.24528301886792,71.69811320754717,71.69811320754717,60.37735849056604,83.01886792452831,83.01886792452831,29.83164983164983,95.0,3.3333333333333335,1.6666666666666667,30.604288499025344,15.15151515151515,63.333333333333336,11.666666666666666,10.0,45.0,6.666666666666667,70.17543859649123,19.29824561403509,12.280701754385966,90.0,33.333333333333336,15.789473684210526,8.771929824561404,63.1578947368421,42.10526315789474,21.05263157894737,8.771929824561404,7.017543859649122,82.45614035087719,33.333333333333336,49.12280701754386,38.333333333333336,60.0,3.3333333333333335,5.0,3.508771929824561,10.526315789473685,3.508771929824561,0.0,12.581001548621206,187.46666666666667,201.76666666666668,71.38333333333334,134.05,94.53333333333333,134.28333333333333,51.71666666666667,66.91666666666667,67.78333333333333,100.03333333333333,133.7,149.91666666666666
SECONDARY,PERIURBAN,8.0,100.0,87.5,100.0,50.0,25.0,65.5337527056277,60.704133168418885,58.96590909090909,30.0,81.42857142857143,67.1875,95.0,96.875,60.625,47.5,49.375,86.875,60.0,100.0,10.625,57.29166666666667,87.5,85.71428571428571,28.571428571428573,83.33333333333333,100.0,32.91666666666667,37.5,100.0,55.0,0.0,30.0,0.875,50.0,0.0,55.0,30.0,40.0,53.93089271499198,32.91666666666667,79.33531746031746,8.962603358651153,88.8888888888889,100.0,50.0,78.66666666666667,0.875,30.0,58.333333333333336,50.0,50.0,50.0,50.0,50.0,100.0,75.08928571428571,62.5,80.0,100.0,100.0,50.0,100.0,57.142857142857146,85.71428571428571,71.42857142857143,85.71428571428571,85.71428571428571,100.0,85.71428571428571,42.857142857142854,71.42857142857143,57.142857142857146,71.42857142857143,57.142857142857146,71.42857142857143,71.42857142857143,27.314814814814817,100.0,0.0,0.0,27.314814814814817,,75.0,0.0,0.0,62.5,0.0,87.5,25.0,12.5,100.0,0.0,0.0,0.0,75.0,50.0,0.0,0.0,0.0,87.5,12.5,37.5,25.0,87.5,0.0,0.0,0.0,0.0,0.0,,13.472222222222221,141.625,377.75,3.5,125.25,132.875,251.25,2.25,125.375,0.75,125.25,0.125,124.875
SECONDARY,RURAL,11.0,100.0,100.0,100.0,63.63636363636363,27.272727272727273,69.23854071013162,64.5583103764922,60.952380952380956,46.0,74.0909090909091,73.71064814814815,90.33333333333334,94.5,66.58333333333334,87.96296296296296,58.583333333333336,68.33333333333334,74.66666666666666,93.0,34.0,15.909090909090908,45.45454545454545,20.0,40.0,50.0,100.0,47.46031746031747,52.857142857142854,100.0,68.80952380952381,17.142857142857142,,0.0,,,,,,57.88831226493564,47.46031746031747,85.58116883116882,16.995004995004997,73.80952380952381,90.91836734693878,83.33333333333333,40.0,0.0,,65.15151515151514,63.63636363636363,54.54545454545455,54.54545454545455,63.63636363636363,63.63636363636363,90.9090909090909,83.63636363636364,90.9090909090909,100.0,81.81818181818181,100.0,42.857142857142854,100.0,80.0,87.5,62.5,50.0,37.5,100.0,50.0,25.0,100.0,75.0,87.5,62.5,100.0,100.0,25.925925925925924,100.0,0.0,0.0,25.925925925925924,,54.54545454545455,0.0,18.181818181818183,27.272727272727273,0.0,63.63636363636363,0.0,9.090909090909092,90.9090909090909,36.36363636363637,9.090909090909092,18.181818181818183,45.45454545454545,54.54545454545455,18.181818181818183,9.090909090909092,9.090909090909092,81.81818181818181,27.272727272727273,54.54545454545455,18.181818181818183,36.36363636363637,0.0,0.0,0.0,18.181818181818183,0.0,,7.828282828282828,197.1818181818182,182.9090909090909,93.0,91.27272727272727,97.81818181818181,91.0,92.18181818181819,91.0,91.63636363636364,90.81818181818181,91.27272727272727,91.18181818181819
SECONDARY,URBAN,41.0,100.0,87.8048780487805,100.0,53.65853658536585,24.390243902439025,70.9344098754255,70.82406482406482,68.22474747474747,60.99074074074074,79.66666666666667,72.92894935752078,84.20238095238096,88.92857142857143,69.72619047619047,80.10752688172043,62.67857142857143,83.61904761904762,78.85714285714286,92.42857142857143,12.0,44.105691056910565,65.85365853658537,52.0,76.92307692307692,73.07692307692308,50.0,56.5,64.62962962962962,75.0,78.5,22.5,13.571428571428571,0.8292682926829268,40.0,0.0,25.714285714285715,0.0,14.285714285714286,54.094451728707654,56.5,84.20731130690532,6.880052647338887,50.588235294117645,89.5012105399243,79.06666666666666,54.0625,0.8292682926829268,0.0,56.91056910569106,53.65853658536585,48.78048780487805,48.78048780487805,51.21951219512195,48.78048780487805,90.2439024390244,80.6910569105691,78.04878048780488,87.5,75.0,95.1219512195122,72.72727272727273,80.0,69.6969696969697,65.78947368421052,60.526315789473685,63.1578947368421,57.89473684210526,92.10526315789474,68.42105263157895,44.73684210526316,76.3157894736842,73.6842105263158,68.42105263157895,60.526315789473685,81.57894736842105,81.57894736842105,31.370616736470392,92.6829268292683,4.878048780487805,2.4390243902439024,32.65107212475633,15.15151515151515,63.41463414634146,17.073170731707318,9.75609756097561,46.34146341463415,9.75609756097561,68.42105263157895,23.68421052631579,13.157894736842104,87.8048780487805,39.473684210526315,21.05263157894737,7.894736842105263,65.78947368421052,36.8421052631579,26.31578947368421,10.526315789473685,7.894736842105263,81.57894736842105,39.473684210526315,50.0,46.34146341463415,60.97560975609756,4.878048780487805,7.317073170731708,5.2631578947368425,10.526315789473685,5.2631578947368425,0.0,13.933056230988146,193.8048780487805,172.4878048780488,78.82926829268293,147.2439024390244,86.17073170731707,123.07317073170732,50.51219512195122,49.048780487804876,74.46341463414635,97.58536585365853,171.14634146341464,170.5609756097561
TERTIARY,General,27.0,74.07407407407408,62.96296296296296,81.48148148148148,44.44444444444444,40.74074074074074,71.71677981226593,69.29305879305879,67.9621212121212,42.525252525252526,82.83333333333333,73.84811507936507,89.63333333333334,92.91666666666666,71.28333333333333,84.375,62.3,90.4,64.13333333333333,98.6111111111111,15.333333333333336,18.333333333333336,38.46153846153846,50.0,66.66666666666667,37.5,100.0,52.63888888888889,80.0,100.0,70.83333333333333,5.833333333333333,12.5,0.25925925925925924,50.0,0.0,0.0,0.0,0.0,61.22482107754834,52.63888888888889,88.2355622728222,9.247713123561697,62.5,76.35070070876496,83.33333333333333,53.958333333333336,0.25925925925925924,0.0,37.03703703703704,29.62962962962963,25.925925925925927,25.925925925925927,25.925925925925927,25.925925925925927,88.88888888888889,78.36190476190477,65.0,84.61538461538461,76.47058823529412,100.0,75.0,72.72727272727273,81.25,86.36363636363636,86.36363636363636,68.18181818181819,72.72727272727273,95.45454545454545,86.36363636363636,54.54545454545455,95.45454545454545,90.9090909090909,86.36363636363636,75.0,100.0,95.45454545454545,41.725900985160244,85.18518518518519,7.407407407407407,7.407407407407407,46.2157809983897,15.90909090909091,55.55555555555556,14.814814814814815,11.11111111111111,44.44444444444444,3.7037037037037037,60.869565217391305,21.73913043478261,8.695652173913043,77.77777777777777,60.869565217391305,65.21739130434783,60.869565217391305,91.30434782608695,82.6086956521739,73.91304347826087,47.82608695652174,8.695652173913043,95.65217391304348,78.26086956521739,91.30434782608695,37.03703703703704,81.48148148148148,3.7037037037037037,22.22222222222222,0.0,17.391304347826086,0.0,0.0,7.589683793139788,332.14814814814815,335.7037037037037,172.1851851851852,259.51851851851853,223.5185185185185,296.9259259259259,120.44444444444444,191.03703703703704,186.62962962962962,296.037037037037,296.0,296.0
TERTIARY,PERIURBAN,3.0,66.66666666666667,33.333333333333336,66.66666666666667,33.333333333333336,33.333333333333336,80.63973063973064,81.36363636363636,72.72727272727272,,90.0,79.25925925925925,95.0,96.66666666666667,86.66666666666667,100.0,78.33333333333333,93.33333333333333,63.333333333333336,100.0,0.0,33.333333333333336,66.66666666666667,50.0,50.0,50.0,,68.33333333333334,100.0,100.0,100.0,0.0,,0.0,,,,,,66.14207989557512,68.33333333333334,96.07843137254902,0.587152209492635,40.0,39.02439024390244,100.0,,0.0,,16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.893378226711555,66.66666666666667,33.333333333333336,0.0,53.7037037037037,27.272727272727273,66.66666666666667,0.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,66.66666666666667,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.24875621890547264,142.66666666666666,333.3333333333333,15.333333333333334,0.3333333333333333,45.666666666666664,1.3333333333333333,2.6666666666666665,0.3333333333333333,2.3333333333333335,0.0,0.0,0.0
TERTIARY,RURAL,1.0,100.0,100.0,100.0,0.0,0.0,50.0,50.0,,0.0,100.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,62.38095238095238,,100.0,12.142857142857142,,,,75.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,100.0,100.0,,,0.0,,,,,,,,,,,,,,7.407407407407407,100.0,0.0,0.0,7.407407407407407,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,54.54545454545454,11.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
TERTIARY,URBAN,23.0,73.91304347826087,65.21739130434783,82.6086956521739,47.82608695652174,43.47826086956522,71.49712447878208,68.96985236985238,67.52892561983471,46.77777777777778,80.96153846153847,73.11023178210678,88.90151515151514,92.40530303030303,69.18560606060606,81.90789473684211,60.11363636363637,90.0,64.24242424242424,98.4126984126984,17.424242424242426,17.063492063492067,36.36363636363637,50.0,71.42857142857143,33.333333333333336,100.0,51.21212121212122,78.18181818181819,100.0,68.18181818181819,6.363636363636363,12.5,0.30434782608695654,50.0,0.0,0.0,0.0,0.0,60.46730166052527,51.21212121212122,86.27483542091993,10.278140109907602,64.54545454545455,81.68303077517389,81.81818181818181,50.952380952380956,0.30434782608695654,0.0,41.30434782608695,34.78260869565217,30.434782608695652,30.434782608695652,30.434782608695652,30.434782608695652,91.30434782608695,78.13852813852814,64.70588235294117,90.9090909090909,73.33333333333333,100.0,72.72727272727273,70.0,84.61538461538461,85.0,85.0,65.0,70.0,95.0,85.0,50.0,95.0,90.0,85.0,72.5,100.0,95.0,42.80486019616455,86.95652173913044,4.3478260869565215,8.695652173913043,47.407407407407405,12.121212121212123,56.52173913043478,17.391304347826086,13.043478260869565,52.17391304347826,0.0,65.0,25.0,5.0,73.91304347826087,60.0,65.0,65.0,95.0,85.0,75.0,45.0,10.0,100.0,80.0,95.0,34.78260869565217,82.6086956521739,4.3478260869565215,26.08695652173913,0.0,15.0,0.0,0.0,5.107074900536239,370.82608695652175,350.3478260869565,200.0,304.4782608695652,256.30434782608694,348.2608695652174,141.04347826086956,224.2173913043478,218.7826086956522,347.5217391304348,347.4782608695652,347.4782608695652
