,,Facility count,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,ANC_score,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,HTM-ANC,presence_score,caseload,ANC_score,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts
COUNTRY,AVERAGE,120.0,99.16666666666667,74.16666666666667,99.16666666666667,66.66666666666667,71.66666666666667,73.83896920498483,72.40044394905506,74.38008288008288,58.122065727699535,64.71947194719472,83.65296803652967,75.43271742724868,86.84027777777779,88.95486111111111,75.58680555555557,87.26041666666667,59.222222222222214,89.875,68.19444444444443,96.0,12.057057057057058,72.22222222222223,88.88888888888889,76.59574468085107,82.17821782178218,82.17821782178218,89.74358974358974,65.6837606837607,65.6837606837607,93.97619047619048,92.27272727272727,83.26923076923077,22.05128205128205,31.112745098039213,2.3333333333333335,29.254901960784316,5.686274509803922,76.90196078431372,59.392156862745104,30.11764705882353,65.41004597680973,65.6837606837607,65.6837606837607,68.2013394158059,51.89187082594463,74.38008288008288,58.122065727699535,86.08243068256837,87.95977011494253,64.49612403100774,2.3333333333333335,59.392156862745104,80.83333333333333,80.83333333333333,75.83333333333333,78.33333333333333,80.0,74.16666666666667,95.83333333333333,96.44047619047619,98.31932773109244,99.01960784313725,93.25842696629213,96.63865546218487,97.5,97.67441860465117,95.65217391304348,69.23076923076923,69.23076923076923,70.76923076923077,69.23076923076923,92.3076923076923,80.0,52.30769230769231,70.76923076923077,81.53846153846153,84.61538461538461,61.53846153846154,73.84615384615384,75.38461538461539,39.86531986531987,57.5,20.0,22.5,53.78421900161031,21.033868092691623,58.333333333333336,50.0,64.16666666666667,49.166666666666664,29.166666666666668,71.01449275362319,53.6231884057971,33.333333333333336,58.333333333333336,46.3768115942029,47.82608695652174,53.6231884057971,37.68115942028985,66.66666666666667,33.333333333333336,36.231884057971016,34.78260869565217,86.95652173913044,59.42028985507246,88.40579710144928,64.16666666666667,46.666666666666664,14.166666666666666,12.5,20.28985507246377,40.57971014492754,21.73913043478261,19.607843137254903,12.187600984480179,216.44166666666666,248.85833333333332
General,PERIURBAN,9.0,100.0,88.88888888888889,100.0,66.66666666666667,66.66666666666667,73.37900499706055,72.71428571428571,70.33333333333333,44.0,72.5,84.0,73.4972075249853,81.48148148148148,87.03703703703704,75.50925925925927,86.85185185185185,50.55555555555556,85.18518518518518,71.85185185185185,95.55555555555556,7.5,74.07407407407408,88.88888888888889,50.0,100.0,100.0,83.33333333333333,71.11111111111111,71.11111111111111,100.0,100.0,96.66666666666667,16.666666666666668,38.75,1.5555555555555556,77.5,0.0,62.5,50.0,27.5,60.88988049150146,71.11111111111111,71.11111111111111,58.098074764741426,47.78252032520325,70.33333333333333,44.0,88.222226550311,100.0,66.66666666666667,1.5555555555555556,50.0,79.62962962962962,77.77777777777777,77.77777777777777,77.77777777777777,77.77777777777777,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,75.0,50.0,100.0,75.0,50.0,50.0,75.0,75.0,50.0,75.0,50.0,20.16460905349794,55.55555555555556,0.0,44.44444444444444,36.29629629629629,0.0,33.333333333333336,33.333333333333336,22.22222222222222,44.44444444444444,22.22222222222222,60.0,20.0,20.0,55.55555555555556,20.0,40.0,40.0,20.0,40.0,0.0,20.0,0.0,60.0,20.0,80.0,44.44444444444444,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,9.283579064700815,39.666666666666664,10.333333333333334
General,RURAL,61.0,98.36065573770492,75.40983606557377,100.0,85.24590163934427,83.60655737704919,74.02997460758732,72.05174958245134,76.23494949494949,59.111111111111114,61.76100628930818,81.58730158730158,76.60413142943881,87.43852459016394,89.36475409836065,75.42349726775956,84.79508196721312,64.57650273224043,90.21857923497268,71.4207650273224,95.40983606557377,17.291666666666668,65.08620689655173,82.75862068965517,68.88888888888889,78.26086956521739,76.59574468085107,92.5,69.03333333333335,69.03333333333335,95.18115942028984,92.66666666666667,88.4,24.0,31.979166666666668,2.2295081967213113,30.069444444444443,3.402777777777778,74.72222222222221,58.4375,36.00694444444444,68.77434634381487,69.03333333333335,69.03333333333335,68.81608123494533,57.42074931569919,76.23494949494949,59.111111111111114,86.00880262120558,87.74509803921569,64.14814814814814,2.2295081967213113,58.4375,88.52459016393442,90.1639344262295,88.52459016393442,86.88524590163935,88.52459016393442,85.24590163934427,91.80327868852459,95.08196721311475,96.66666666666667,98.11320754716981,89.1304347826087,96.72131147540983,98.07692307692308,96.07843137254902,98.14814814814815,54.54545454545455,54.54545454545455,68.18181818181819,72.72727272727273,86.36363636363636,81.81818181818181,40.90909090909091,68.18181818181819,68.18181818181819,72.72727272727273,54.54545454545455,68.18181818181819,72.72727272727273,32.406027487994706,31.147540983606557,34.42622950819672,34.42622950819672,59.06432748538011,20.346320346320347,45.90163934426229,44.26229508196721,55.73770491803279,39.34426229508197,24.59016393442623,78.94736842105263,52.63157894736842,31.57894736842105,44.26229508196721,52.63157894736842,36.8421052631579,52.63157894736842,63.1578947368421,57.89473684210526,47.36842105263158,26.31578947368421,15.789473684210526,89.47368421052632,68.42105263157895,94.73684210526316,45.90163934426229,31.147540983606557,16.39344262295082,9.836065573770492,31.57894736842105,63.1578947368421,36.8421052631579,19.047619047619047,13.647128803098163,134.40983606557376,200.70491803278688
General,URBAN,50.0,100.0,70.0,98.0,44.0,58.0,73.68873617123617,72.802232279505,71.26813590449954,59.36507936507937,67.34126984126985,86.92307692307692,74.35198412698412,87.075,88.8,75.8,90.34166666666665,54.25,90.3,63.6,96.8,6.595744680851064,80.16666666666667,96.0,90.2439024390244,82.97872340425532,84.78260869565217,87.5,56.59090909090909,56.59090909090909,88.88888888888889,90.76923076923077,67.95454545454545,19.09090909090909,28.92676767676768,2.6,22.222222222222225,9.696969696969697,81.81818181818181,61.91919191919192,21.86868686868687,61.90917718915995,56.59090909090909,56.59090909090909,69.9286630517276,43.63026352535121,71.26813590449954,59.36507936507937,85.54505465102085,86.58730158730158,64.57142857142857,2.6,61.91919191919192,71.66666666666667,70.0,60.0,68.0,70.0,62.0,100.0,97.45714285714286,100.0,100.0,97.14285714285714,95.91836734693878,95.45454545454545,100.0,90.625,76.92307692307692,76.92307692307692,71.7948717948718,69.23076923076923,94.87179487179488,79.48717948717949,58.97435897435897,74.35897435897436,89.74358974358974,92.3076923076923,66.66666666666667,76.92307692307692,79.48717948717949,52.511784511784505,90.0,6.0,4.0,53.49794238683128,43.63636363636364,78.0,60.0,82.0,62.0,36.0,68.88888888888889,57.77777777777778,35.55555555555556,76.0,46.666666666666664,53.333333333333336,55.55555555555556,28.88888888888889,73.33333333333333,31.11111111111111,42.22222222222222,46.666666666666664,88.88888888888889,60.0,86.66666666666667,90.0,66.0,14.0,18.0,17.77777777777778,35.55555555555556,17.77777777777778,40.0,10.945113639679784,348.34,350.54
PRIMARY,General,56.0,98.21428571428571,78.57142857142857,100.0,96.42857142857143,94.64285714285714,73.45604568009703,69.58576265983673,74.35315418334287,60.0,58.0718954248366,77.86324786324786,77.65503649376417,88.09523809523809,90.34970238095238,79.47172619047619,87.79761904761905,62.373511904761905,91.25,72.20238095238095,96.78571428571429,14.67948717948718,69.81132075471699,86.79245283018868,67.3913043478261,84.44444444444444,77.77777777777777,94.87179487179488,68.33333333333334,68.33333333333334,96.34751773049645,88.14814814814815,90.56603773584905,19.62264150943396,32.22868217054263,2.3035714285714284,25.736434108527135,4.728682170542636,85.03875968992247,66.47286821705427,31.976744186046513,70.0215606268073,68.33333333333334,68.33333333333334,68.23956512725002,60.43493178829718,74.35315418334287,60.0,89.66411826334767,87.63440860215053,62.857142857142854,2.3035714285714284,66.47286821705427,86.30952380952381,87.5,85.71428571428571,83.92857142857143,85.71428571428571,82.14285714285714,92.85714285714286,94.89795918367348,96.36363636363636,100.0,90.9090909090909,94.64285714285714,98.14814814814815,96.22641509433963,98.18181818181819,25.0,25.0,25.0,25.0,50.0,100.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.98989898989899,17.857142857142858,39.285714285714285,42.857142857142854,38.88888888888889,20.75098814229249,37.5,37.5,41.07142857142857,32.142857142857146,17.857142857142858,100.0,40.0,40.0,37.5,20.0,30.0,30.0,30.0,30.0,10.0,30.0,10.0,30.0,20.0,40.0,37.5,12.5,5.357142857142857,8.928571428571429,20.0,20.0,20.0,17.391304347826086,12.46165713021578,89.16071428571429,180.48214285714286
PRIMARY,PERIURBAN,6.0,100.0,100.0,100.0,100.0,100.0,74.73285934744268,76.5,70.33333333333333,44.0,77.0,84.0,72.96571869488535,81.3888888888889,85.55555555555556,78.26388888888889,86.94444444444444,50.833333333333336,84.44444444444444,74.44444444444444,93.33333333333333,10.0,86.1111111111111,100.0,50.0,100.0,100.0,100.0,71.11111111111111,71.11111111111111,100.0,100.0,96.66666666666667,16.666666666666668,45.0,1.5,76.66666666666667,0.0,83.33333333333333,66.66666666666667,36.666666666666664,65.87807812349739,71.11111111111111,71.11111111111111,44.90740740740741,69.33333333333333,70.33333333333333,44.0,88.222226550311,100.0,60.0,1.5,66.66666666666667,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.407407407407407,33.333333333333336,0.0,66.66666666666667,22.22222222222222,0.0,16.666666666666668,33.333333333333336,0.0,16.666666666666668,16.666666666666668,100.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.666666666666668,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,7.026143790849673,16.666666666666668,0.6666666666666666
PRIMARY,RURAL,40.0,97.5,72.5,100.0,95.0,92.5,71.54006853967792,66.30812170285854,73.13868413868414,58.857142857142854,53.7962962962963,73.71794871794872,77.06832423941799,87.84375,90.28125,77.48958333333334,85.125,65.32291666666666,90.58333333333334,71.41666666666666,97.0,14.954954954954957,61.261261261261254,81.08108108108108,60.0,79.3103448275862,72.41379310344827,92.3076923076923,68.96396396396398,68.96396396396398,94.7979797979798,88.42105263157895,92.43243243243244,20.0,29.0625,2.1,22.916666666666668,2.604166666666667,81.45833333333333,60.78125,29.947916666666668,69.42996181440591,68.96396396396398,68.96396396396398,67.94620412267471,60.81513794013794,73.13868413868414,58.857142857142854,90.62634914257835,84.0909090909091,60.0,2.1,60.78125,85.41666666666666,87.5,85.0,82.5,85.0,82.5,90.0,93.21428571428571,94.87179487179488,100.0,86.20689655172414,95.0,97.36842105263158,94.5945945945946,97.43589743589743,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.983164983164983,5.0,47.5,47.5,31.48148148148148,19.37799043062201,32.5,32.5,40.0,25.0,12.5,100.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.5,5.0,5.0,7.5,50.0,50.0,50.0,15.789473684210526,14.761939621917104,63.225,152.05
PRIMARY,URBAN,10.0,100.0,90.0,100.0,100.0,100.0,80.35386604136605,77.89225589225589,81.25858585858586,72.0,64.0,87.5,82.81547619047619,93.125,93.5,88.125,99.0,57.5,98.0,74.0,98.0,16.666666666666668,91.66666666666666,100.0,100.0,90.0,80.0,100.0,64.33333333333334,64.33333333333334,100.0,85.71428571428571,80.0,20.0,40.104166666666664,3.6,17.916666666666668,15.0,100.0,89.16666666666667,38.333333333333336,74.87404537839885,64.33333333333334,64.33333333333334,85.0655679603048,52.939594356261026,81.25858585858586,72.0,87.01689239110632,94.44444444444444,77.14285714285714,3.6,89.16666666666667,91.66666666666666,90.0,90.0,90.0,90.0,90.0,100.0,98.57142857142857,100.0,100.0,100.0,90.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,0.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.966329966329965,60.0,30.0,10.0,46.91358024691359,54.54545454545455,70.0,60.0,70.0,70.0,40.0,100.0,66.66666666666667,66.66666666666667,90.0,33.333333333333336,50.0,50.0,33.333333333333336,50.0,16.666666666666668,50.0,16.666666666666668,50.0,33.333333333333336,33.333333333333336,90.0,40.0,10.0,20.0,16.666666666666668,16.666666666666668,16.666666666666668,50.0,5.245616765224608,236.4,402.1
SECONDARY,General,50.0,100.0,70.0,98.0,44.0,50.0,74.2470604858105,74.73707164560824,73.31409331409331,61.48148148148149,73.1140350877193,88.14814814814815,73.88115079365079,86.05,88.3,73.2,87.19166666666666,57.475,87.9,62.1,95.6,10.11111111111111,74.5,92.0,86.48648648648648,79.54545454545455,86.36363636363636,81.81818181818181,59.44444444444445,59.44444444444445,86.84210526315789,98.46153846153847,72.14285714285714,22.857142857142858,28.051470588235293,2.46,30.294117647058822,3.5294117647058822,65.88235294117646,52.05882352941177,26.323529411764707,63.23647349369895,59.44444444444445,59.44444444444445,68.33831755173476,45.49972978821545,73.31409331409331,61.48148148148149,76.00603357867877,88.63636363636364,68.13725490196077,2.46,52.05882352941177,78.0,78.0,68.0,76.0,78.0,70.0,98.0,97.67142857142856,100.0,97.36842105263158,94.28571428571429,97.95918367346938,95.45454545454545,100.0,92.5925925925926,68.08510638297872,68.08510638297872,74.46808510638297,70.2127659574468,93.61702127659575,80.85106382978724,51.06382978723404,72.34042553191489,80.85106382978724,85.1063829787234,61.702127659574465,76.59574468085107,74.46808510638297,50.141414141414145,90.0,4.0,6.0,53.08641975308642,23.636363636363637,72.0,54.0,82.0,64.0,38.0,64.44444444444444,51.111111111111114,26.666666666666668,80.0,48.888888888888886,37.77777777777778,51.111111111111114,37.77777777777778,73.33333333333333,31.11111111111111,26.666666666666668,26.666666666666668,95.55555555555556,64.44444444444444,95.55555555555556,88.0,80.0,20.0,14.0,11.11111111111111,37.77777777777778,20.0,40.0,13.12081585882151,231.34,252.76
SECONDARY,PERIURBAN,3.0,100.0,66.66666666666667,100.0,0.0,0.0,70.67129629629629,50.0,,,50.0,,74.56018518518518,81.66666666666667,90.0,70.0,86.66666666666667,50.0,86.66666666666667,66.66666666666667,100.0,0.0,50.0,66.66666666666667,50.0,100.0,100.0,0.0,,,,,,,20.0,1.6666666666666667,80.0,0.0,0.0,0.0,0.0,50.91348522750962,,,84.47940947940948,4.680894308943089,,,,,100.0,1.6666666666666667,0.0,72.22222222222221,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,66.66666666666667,100.0,66.66666666666667,66.66666666666667,66.66666666666667,100.0,100.0,66.66666666666667,100.0,66.66666666666667,45.67901234567901,100.0,0.0,0.0,45.67901234567901,,66.66666666666667,33.333333333333336,66.66666666666667,100.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,100.0,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336,66.66666666666667,0.0,33.333333333333336,0.0,100.0,33.333333333333336,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,13.798449612403099,85.66666666666667,29.666666666666668
SECONDARY,RURAL,18.0,100.0,77.77777777777777,100.0,61.111111111111114,61.111111111111114,79.04048253701032,83.17776725589226,84.22828282828283,82.85714285714286,79.76190476190477,93.84615384615384,76.86232363315698,88.61111111111111,90.55555555555556,73.40277777777777,87.22222222222223,61.736111111111114,88.88888888888889,67.77777777777777,93.33333333333333,25.9375,75.92592592592592,88.88888888888889,84.61538461538461,80.0,87.5,92.3076923076923,69.33333333333334,69.33333333333334,95.0,100.0,86.0,26.0,37.857142857142854,2.6666666666666665,40.0,5.714285714285714,62.857142857142854,61.42857142857143,44.285714285714285,68.0534384276642,69.33333333333334,69.33333333333334,69.1535602319916,52.397804365761445,84.22828282828283,82.85714285714286,69.70823274100748,93.33333333333334,73.88888888888889,2.6666666666666665,61.42857142857143,93.51851851851852,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,88.88888888888889,94.44444444444444,98.4126984126984,100.0,92.85714285714286,92.85714285714286,100.0,100.0,100.0,100.0,55.55555555555556,55.55555555555556,72.22222222222223,72.22222222222223,83.33333333333333,77.77777777777777,44.44444444444444,77.77777777777777,66.66666666666667,72.22222222222223,61.111111111111114,77.77777777777777,77.77777777777777,52.450430228208006,77.77777777777777,11.11111111111111,11.11111111111111,58.99470899470899,29.545454545454547,66.66666666666667,61.111111111111114,88.88888888888889,61.111111111111114,50.0,71.42857142857143,50.0,21.428571428571427,83.33333333333333,64.28571428571429,28.571428571428573,57.142857142857146,57.142857142857146,71.42857142857143,50.0,14.285714285714286,7.142857142857143,100.0,78.57142857142857,100.0,77.77777777777777,77.77777777777777,33.333333333333336,11.11111111111111,14.285714285714286,64.28571428571429,35.714285714285715,50.0,10.817224416865464,255.0,229.61111111111111
SECONDARY,URBAN,29.0,100.0,65.51724137931035,96.55172413793103,37.93103448275862,48.275862068965516,71.64173964605,70.14065255731923,63.3921028466483,47.878787878787875,70.07246376811595,82.85714285714286,71.96052271483305,84.91379310344827,86.72413793103448,73.40517241379311,87.22701149425288,55.60344827586207,87.41379310344827,58.10344827586207,96.55172413793103,1.4814814814814814,76.14942528735632,96.55172413793103,90.9090909090909,77.77777777777777,84.61538461538461,78.94736842105263,50.45454545454545,50.45454545454545,77.77777777777777,96.0,59.54545454545455,20.0,21.25,2.413793103448276,20.526315789473685,2.1052631578947367,71.57894736842105,47.89473684210526,14.473684210526315,61.3943844561876,50.45454545454545,50.45454545454545,64.83289288353211,45.39921002597951,63.3921028466483,47.878787878787875,83.09105952105898,84.72222222222221,63.333333333333336,2.413793103448276,47.89473684210526,68.96551724137932,68.96551724137932,51.724137931034484,65.51724137931035,68.96551724137932,58.62068965517241,100.0,96.97044334975371,100.0,100.0,94.73684210526316,96.42857142857143,90.9090909090909,100.0,86.66666666666667,73.07692307692308,73.07692307692308,73.07692307692308,69.23076923076923,100.0,84.61538461538461,53.84615384615385,69.23076923076923,88.46153846153847,92.3076923076923,61.53846153846154,73.07692307692308,73.07692307692308,49.1698595146871,96.55172413793103,0.0,3.4482758620689653,50.925925925925924,0.0,75.86206896551724,51.724137931034484,79.3103448275862,62.06896551724138,31.03448275862069,64.28571428571429,53.57142857142857,28.571428571428573,75.86206896551724,42.857142857142854,39.285714285714285,46.42857142857143,28.571428571428573,75.0,25.0,32.142857142857146,39.285714285714285,92.85714285714286,60.714285714285715,92.85714285714286,93.10344827586206,79.3103448275862,13.793103448275861,17.24137931034483,10.714285714285714,28.571428571428573,14.285714285714286,0.0,14.450043834282647,231.72413793103448,290.2068965517241
TERTIARY,General,14.0,100.0,71.42857142857143,100.0,28.571428571428573,57.142857142857146,73.91319444444444,76.72283272283272,80.33333333333333,6.666666666666667,66.3888888888889,98.57142857142857,72.08475056689342,84.64285714285714,85.71428571428571,68.57142857142857,85.35714285714286,52.857142857142854,91.42857142857143,73.92857142857143,94.28571428571429,8.571428571428571,73.21428571428571,85.71428571428571,81.81818181818181,83.33333333333333,83.33333333333333,100.0,63.33333333333334,63.33333333333334,100.0,100.0,45.0,50.0,38.125,2.0,43.75,20.0,80.0,52.5,36.25,53.57055819138297,63.33333333333334,63.33333333333334,66.96695012927141,26.724644499866752,80.33333333333333,6.666666666666667,88.10699260877918,87.0,59.0,2.0,52.5,69.04761904761905,64.28571428571429,64.28571428571429,64.28571428571429,64.28571428571429,57.142857142857146,100.0,98.21428571428571,100.0,100.0,100.0,100.0,100.0,100.0,90.0,85.71428571428571,85.71428571428571,71.42857142857143,78.57142857142857,100.0,71.42857142857143,64.28571428571429,78.57142857142857,100.0,100.0,71.42857142857143,78.57142857142857,92.85714285714286,66.66666666666667,100.0,0.0,0.0,66.66666666666667,,92.85714285714286,85.71428571428571,92.85714285714286,64.28571428571429,42.857142857142854,71.42857142857143,71.42857142857143,50.0,64.28571428571429,57.142857142857146,92.85714285714286,78.57142857142857,42.857142857142854,71.42857142857143,57.142857142857146,71.42857142857143,78.57142857142857,100.0,71.42857142857143,100.0,85.71428571428571,64.28571428571429,28.571428571428573,21.428571428571427,50.0,64.28571428571429,28.571428571428573,,4.377354833024936,672.3571428571429,508.42857142857144
TERTIARY,RURAL,3.0,100.0,100.0,100.0,100.0,100.0,77.1656746031746,85.46560846560847,87.77777777777777,6.666666666666667,73.33333333333333,96.66666666666667,68.86574074074075,75.0,70.0,60.0,65.83333333333333,71.66666666666667,93.33333333333333,93.33333333333333,86.66666666666667,0.0,47.22222222222223,66.66666666666667,100.0,50.0,50.0,100.0,68.8888888888889,68.8888888888889,100.0,100.0,46.666666666666664,66.66666666666667,37.5,1.3333333333333333,75.0,0.0,50.0,0.0,75.0,64.35825423283835,68.8888888888889,68.8888888888889,96.66666666666667,22.241379310344826,87.77777777777777,6.666666666666667,87.19586487428109,100.0,66.66666666666667,1.3333333333333333,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,66.66666666666667,66.66666666666667,100.0,100.0,100.0,33.333333333333336,33.333333333333336,100.0,100.0,33.333333333333336,33.333333333333336,66.66666666666667,77.77777777777777,100.0,0.0,0.0,77.77777777777777,,100.0,100.0,66.66666666666667,100.0,33.333333333333336,100.0,100.0,100.0,66.66666666666667,33.333333333333336,100.0,66.66666666666667,100.0,33.333333333333336,66.66666666666667,100.0,66.66666666666667,100.0,66.66666666666667,100.0,100.0,100.0,66.66666666666667,33.333333333333336,100.0,66.66666666666667,33.333333333333336,,,360.0,676.0
TERTIARY,URBAN,11.0,100.0,63.63636363636363,100.0,9.090909090909092,45.45454545454545,73.0261544011544,74.1,58.0,,64.07407407407408,100.0,72.96266233766234,87.27272727272727,90.0,70.9090909090909,90.68181818181819,47.72727272727273,90.9090909090909,68.63636363636364,96.36363636363636,10.909090909090908,80.30303030303031,90.9090909090909,77.77777777777777,90.0,90.0,100.0,46.66666666666667,46.66666666666667,100.0,100.0,40.0,0.0,38.333333333333336,2.1818181818181817,33.333333333333336,26.666666666666668,90.0,70.0,23.333333333333332,50.33424937894637,46.66666666666667,46.66666666666667,61.02700682179236,27.36511095551274,58.0,,89.47368421052632,78.33333333333333,55.714285714285715,2.1818181818181817,70.0,60.6060606060606,54.54545454545455,54.54545454545455,54.54545454545455,54.54545454545455,45.45454545454545,100.0,97.72727272727273,100.0,100.0,100.0,100.0,100.0,100.0,85.71428571428571,90.9090909090909,90.9090909090909,72.72727272727273,72.72727272727273,100.0,63.63636363636363,72.72727272727273,90.9090909090909,100.0,100.0,81.81818181818181,90.9090909090909,100.0,63.63636363636363,100.0,0.0,0.0,63.63636363636363,,90.9090909090909,81.81818181818181,100.0,54.54545454545455,45.45454545454545,63.63636363636363,63.63636363636363,36.36363636363637,63.63636363636363,63.63636363636363,90.9090909090909,81.81818181818181,27.272727272727273,81.81818181818181,54.54545454545455,63.63636363636363,81.81818181818181,100.0,72.72727272727273,100.0,81.81818181818181,54.54545454545455,18.181818181818183,18.181818181818183,36.36363636363637,63.63636363636363,27.272727272727273,,4.377354833024936,757.5454545454545,462.72727272727275
